ticker,last_pitrading_date,first_iex_date,last_pitrading_close,first_iex_close,seam_ratio,nearest_canonical_factor,off_from_canonical_pct,direction,confidence
SD,2022-03-04,2022-03-07,15.64,11.1433,0.712489,0.5,42.5,forward_split,investigate
ET,2022-03-04,2022-03-07,10.44,7.4519,0.713788,0.5,42.76,forward_split,investigate
WB,2022-03-04,2022-03-07,25.76,18.3899,0.713893,0.5,42.78,forward_split,investigate
F,2022-03-04,2022-03-07,16.86,12.1314,0.71954,0.5,43.91,forward_split,investigate
LYB,2022-03-04,2022-03-07,97.11,70.2017,0.722909,0.5,44.58,forward_split,investigate
TDG,2022-03-04,2022-03-07,632.83,460.5683,0.727791,0.5,45.56,forward_split,investigate
M,2022-03-04,2022-03-07,24.78,18.0525,0.728511,0.5,45.7,forward_split,investigate
ILF,2022-03-04,2022-03-07,27.55,20.0815,0.72891,0.5,45.78,forward_split,investigate
BDX,2022-03-04,2022-03-07,275.27,201.5593,0.732224,0.5,46.44,forward_split,investigate
XRX,2022-03-04,2022-03-07,18.52,13.5653,0.732469,0.5,46.49,forward_split,investigate
J,2022-03-04,2022-03-07,127.97,93.8866,0.733661,0.5,46.73,forward_split,investigate
OPRA,2022-03-04,2022-03-07,5.11,3.7523,0.734298,0.5,46.86,forward_split,investigate
PBP,2022-03-04,2022-03-07,22.3,16.4285,0.736704,0.5,47.34,forward_split,investigate
WHR,2022-03-04,2022-03-07,203.98,151.2757,0.74162,0.5,48.32,forward_split,investigate
SPG,2022-03-04,2022-03-07,136.86,101.5072,0.741686,0.5,48.34,forward_split,investigate
SLG,2022-03-04,2022-03-07,78.97,58.8083,0.744692,0.5,48.94,forward_split,investigate
BBBY,2022-03-04,2022-03-07,16.18,21.7,1.341162,2.0,32.94,reverse_split,investigate
IDV,2022-03-04,2022-03-07,30.71,23.0646,0.751046,0.5,50.21,forward_split,investigate
SAVE,2022-03-04,2022-03-07,22.32,16.7959,0.752506,0.5,50.5,forward_split,investigate
LNC,2022-03-04,2022-03-07,61.68,46.522,0.754248,0.5,50.85,forward_split,investigate
PCY,2022-03-04,2022-03-07,21.23,16.068,0.756855,0.5,51.37,forward_split,investigate
VICI,2022-03-04,2022-03-07,27.87,21.2742,0.763336,0.5,52.67,forward_split,investigate
PM,2022-03-04,2022-03-07,99.78,76.2073,0.763753,0.5,52.75,forward_split,investigate
VZ,2022-03-04,2022-03-07,55.09,42.1015,0.764232,0.5,52.85,forward_split,investigate
JNK,2022-03-04,2022-03-07,102.85,78.6246,0.764459,0.5,52.89,forward_split,investigate
WIP,2022-03-04,2022-03-07,54.28,41.5461,0.765404,0.5,53.08,forward_split,investigate
EWO,2022-03-04,2022-03-07,19.82,15.1912,0.766457,0.5,53.29,forward_split,investigate
SCCO,2022-03-04,2022-03-07,76.6,59.0141,0.770419,0.5,54.08,forward_split,investigate
