ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
A,10,10,1.0,0.971792,0.971792,1.0,0.0008,0.0006,0.946248,
AA,10,10,0.999873,0.957304,0.957425,1.0,0.0004,0.0004,0.901741,
AAL,10,10,1.000576,1.0,0.999424,1.0,0.0012,0.0019,0.878425,no_rebase_needed
AAP,10,10,1.000023,0.903048,0.903027,1.0,0.0011,0.0079,0.880649,
AAPL,10,10,1.000153,0.979879,0.97973,1.0,0.0009,0.0013,0.956766,
ABBV,10,10,0.999933,0.863635,0.863693,1.0,0.0003,0.0005,0.857441,
ABC,10,10,,,,,,,,no_yahoo_history
ABMD,10,10,,,,,,,,no_yahoo_history
ABNB,10,10,1.0,0.999967,0.999967,1.0,0.001,0.0012,0.922387,no_rebase_needed
ABT,10,10,1.0,0.926137,0.926137,1.0,0.0002,0.0009,0.906725,
ACI,10,10,1.0,0.683556,0.683556,1.0,0.0004,0.0006,0.673399,
ACN,10,10,1.000077,0.945845,0.945771,1.0,0.0013,0.0018,0.918777,
ADBE,10,10,1.0,0.999988,0.999988,1.0,0.0007,0.0006,0.969175,no_rebase_needed
ADI,10,10,0.999937,0.932997,0.933055,1.0,0.0053,0.0011,0.870125,
ADM,10,10,1.0,0.888467,0.888467,1.0,0.0005,0.0006,0.901616,
ADP,10,10,1.000025,0.915667,0.915643,1.0,0.0005,0.0055,0.90981,
ADRA,10,10,,,,,,,,no_yahoo_history
ADRD,10,0,,,,,,,,no_seam_window
ADRE,10,10,1.0,0.943592,0.943592,1.0,0.0001,0.0428,0.928611,iex_side_unstable
ADRU,10,0,,,,,,,,no_seam_window
ADS,10,10,,,,,,,,no_yahoo_history
ADSK,10,10,0.999954,0.99992,0.999967,1.0,0.0003,0.0013,0.958851,no_rebase_needed
ADT,10,10,1.0,0.899307,0.899307,1.0,0.0015,0.006,0.864882,
AEE,10,10,1.0,0.886452,0.886452,1.0,0.0004,0.0066,0.881466,
AEP,10,10,1.000055,0.863877,0.863829,1.0,0.0006,0.0006,0.872206,
AES,10,10,1.0,0.848207,0.848207,1.0,0.0009,0.0009,0.849777,
AFK,10,10,1.0,0.934121,0.934121,1.0,0.0087,0.006,0.902407,
AFL,10,10,1.0,0.913169,0.913169,1.0,0.0002,0.0004,0.896765,
AFRM,10,10,1.0,0.999545,0.999545,1.0,0.0015,0.0023,0.938741,no_rebase_needed
AGG,10,10,0.998683,0.874298,0.875451,1.0,0.0016,0.0004,0.869447,
AGQ,10,10,1.0,1.000063,1.000063,1.0,0.0013,0.0032,1.002888,no_rebase_needed
AIA,10,10,1.0,0.904579,0.904579,1.0,0.0039,0.0071,0.869299,
AIG,10,10,1.0,0.909686,0.909686,1.0,0.0004,0.0057,0.865064,
AIV,10,10,1.0,0.501729,0.501729,1.0,0.0001,0.0028,0.488024,
AIZ,10,10,0.999735,0.933359,0.933607,1.0,0.0046,0.0009,0.927437,
AJG,10,10,0.996816,0.961381,0.964452,1.0,0.0036,0.001,0.929582,
AKAM,10,10,1.0,0.999955,0.999955,1.0,0.0004,0.0007,0.995467,no_rebase_needed
ALB,10,10,0.999664,0.947364,0.947683,1.0,0.0014,0.0034,0.909926,
ALGN,10,10,1.00001,1.000023,1.000013,1.0,0.0013,0.0008,0.937637,no_rebase_needed
ALK,10,10,1.000086,0.999893,0.999806,1.0,0.0004,0.0013,0.888968,no_rebase_needed
ALL,10,10,0.999958,0.909154,0.909192,1.0,0.0073,0.0007,0.892292,
ALLE,10,10,1.000045,0.948876,0.948833,1.0,0.0003,0.0035,0.926868,
ALLY,10,10,1.0,0.86822,0.86822,1.0,0.0004,0.0006,0.791297,
ALTR,10,10,,,,,,,,no_yahoo_history
AMAT,10,10,1.0,0.964739,0.964739,1.0,0.0012,0.0008,0.9144,
AMC,10,10,0.099945,0.389117,3.893296,0.1,0.0006,0.0009,3.570803,
AMCR,10,10,0.2,0.819955,4.099775,0.2,0.0011,0.0006,3.918161,
AMCX,10,10,1.000361,1.0,0.999639,1.0,0.0021,0.0025,0.956272,no_rebase_needed
AMD,10,10,1.000041,0.999907,0.999866,1.0,0.0004,0.0007,0.949543,no_rebase_needed
AME,10,10,1.000115,0.973713,0.9736,1.0,0.0006,0.0018,0.961051,
AMG,10,10,1.0,0.99882,0.99882,1.0,0.0014,0.0013,0.947499,no_rebase_needed
AMGN,10,10,1.000044,0.882277,0.882238,1.0,0.0002,0.0008,0.88771,
AMP,10,10,1.000221,0.942899,0.94269,1.0,0.0012,0.001,0.887579,
AMT,10,10,1.0,0.880281,0.880281,1.0,0.0004,0.0008,0.857243,
AMWL,10,10,0.05,1.0,19.999999,0.05,0.0049,0.0034,19.891304,
AMZN,10,10,20.0,1.000148,0.050007,20.0,0.0008,0.0008,0.047244,
AN,10,10,1.0,0.999932,0.999932,1.0,0.0004,0.0009,0.962423,no_rebase_needed
ANET,10,10,3.999672,0.999958,0.25001,4.0,0.0007,0.0009,0.241309,
ANF,10,10,1.0,0.99966,0.999661,1.0,0.0014,0.0005,0.926172,no_rebase_needed
ANSS,10,10,,,,,,,,no_yahoo_history
ANTM,10,10,,,,,,,,no_yahoo_history
AON,10,10,0.999966,0.974145,0.974178,1.0,0.0008,0.0008,0.955841,
AOS,10,10,1.0,0.928435,0.928435,1.0,0.0004,0.0006,0.914179,
APA,10,10,1.0,0.877041,0.877041,1.0,0.0003,0.0006,0.842358,
APD,10,10,1.000124,0.90244,0.902328,1.0,0.0005,0.0005,0.874982,
APH,10,10,1.999737,0.961539,0.480833,2.0,0.0007,0.0006,0.459232,
APO,10,10,1.0,0.92653,0.92653,1.0,0.0005,0.0006,0.850986,
APRN,10,10,,,,,,,,no_yahoo_history
APTV,10,10,1.000078,0.99946,0.999382,1.0,0.0003,0.001,0.921696,no_rebase_needed
ARE,10,10,1.000026,0.834317,0.834295,1.0,0.0005,0.0006,0.812048,
ARKF,10,10,1.000169,0.999098,0.998929,1.0,0.0017,0.0034,0.938023,no_rebase_needed
ARKG,10,10,1.000544,0.999429,0.998886,1.0,0.001,0.0026,0.983762,no_rebase_needed
ARKK,10,10,1.000516,0.999351,0.998836,1.0,0.0017,0.0028,0.965394,no_rebase_needed
ARKQ,10,10,1.000152,0.997706,0.997554,1.0,0.0016,0.0066,0.980849,
ARKW,10,10,0.999881,0.984436,0.984553,1.0,0.0011,0.0017,0.935623,
ARKX,10,10,0.998839,0.999845,1.001007,1.0,0.0015,0.0028,0.994867,no_rebase_needed
ARLO,10,10,1.0,1.0,1.0,1.0,0.0011,0.0022,0.954503,no_rebase_needed
ARNC,10,10,,,,,,,,no_yahoo_history
ARRY,10,10,1.0,0.999073,0.999073,1.0,0.002,0.0026,1.032538,no_rebase_needed
ASML,10,10,0.999992,0.965101,0.965108,1.0,0.0006,0.0016,0.932072,
ATO,10,10,1.000046,0.906464,0.906423,1.0,0.0005,0.0004,0.90506,
ATUS,10,10,,,,,,,,no_yahoo_history
ATVI,10,10,,,,,,,,no_yahoo_history
AUY,10,10,,,,,,,,no_yahoo_history
AVB,10,10,,,,,,,,no_yahoo_history
AVGO,10,10,10.001039,0.924194,0.09241,10.0,0.0015,0.0009,0.088508,
AVTR,10,10,1.000141,0.999707,0.999566,1.0,0.0003,0.0007,0.983092,no_rebase_needed
AVY,10,10,0.996871,0.930725,0.933646,1.0,0.0043,0.0009,0.880645,
AWK,10,10,1.0,0.916718,0.916718,1.0,0.0008,0.0004,0.906331,
AXON,10,10,0.999892,0.999759,0.999867,1.0,0.0012,0.0015,0.912685,no_rebase_needed
AXP,10,10,0.999897,0.950923,0.951021,1.0,0.0005,0.0004,0.874955,
AYX,10,10,,,,,,,,no_yahoo_history
AZN,10,10,0.499916,0.989489,1.979312,0.5,0.0166,0.0007,1.94626,pit_side_unstable
AZO,10,10,0.999994,0.998851,0.998857,1.0,0.0032,0.0021,0.983547,no_rebase_needed
BA,10,10,1.0,0.999869,0.999869,1.0,0.0006,0.001,0.935081,no_rebase_needed
BABA,10,10,1.000138,0.949511,0.949381,1.0,0.0005,0.0006,0.931281,
BABS,10,0,,,,,,,,no_seam_window
BABZ,10,0,,,,,,,,no_seam_window
BAC,10,10,0.995124,0.902201,0.906622,1.0,0.005,0.0005,0.844637,
BAH,10,10,1.0,0.928771,0.928771,1.0,0.0003,0.0012,0.935699,
BAX,10,10,1.0,0.913757,0.913757,1.0,0.0031,0.0004,0.902598,
BB,10,10,1.0,1.0,1.0,1.0,0.0016,0.0024,0.972222,no_rebase_needed
BBBY,10,10,,,,,,,,no_yahoo_history
BBH,10,10,1.0,0.97827,0.97827,1.0,0.0016,0.0043,0.958693,
BBWI,10,10,1.0,0.90582,0.90582,1.0,0.0004,0.0006,0.827173,
BBY,10,10,1.0,0.815979,0.815979,1.0,0.0003,0.0005,0.805438,
BDTX,10,10,1.0,1.0,1.0,1.0,0.0041,0.0054,0.917526,no_rebase_needed
BDX,10,10,1.30368,0.955478,0.732908,,0.0005,0.0041,0.732224,P_not_canonical
BEN,10,10,1.000165,0.814533,0.814399,1.0,0.0004,0.0008,0.785924,
BF-B,10,10,1.0,0.924056,0.924056,1.0,0.0003,0.0008,0.894469,
BHF,10,10,1.0,0.999784,0.999784,1.0,0.0006,0.0016,0.922864,no_rebase_needed
BIDU,10,10,1.0,1.000071,1.000071,1.0,0.0009,0.0013,0.940314,no_rebase_needed
BIIB,10,10,1.0,1.000221,1.000221,1.0,0.0005,0.0013,0.983481,no_rebase_needed
BIK,10,0,,,,,,,,no_seam_window
BIL,10,10,0.999891,0.852658,0.852751,1.0,0.0002,0.0002,0.852658,
BIO,10,10,0.999991,1.000037,1.000045,1.0,0.0021,0.0015,0.944157,no_rebase_needed
BIRD,10,10,0.049934,1.0,20.026519,0.05,0.0057,0.0024,18.954041,
BITO,10,10,1.0,0.267431,0.267431,1.0,0.0012,0.0017,0.253959,
BJ,10,10,1.0,0.99976,0.99976,1.0,0.001,0.0012,1.021028,no_rebase_needed
BJK,10,10,,,,,,,,no_yahoo_history
BK,10,10,,,,,,,,no_yahoo_history
BKF,10,10,0.999637,0.922974,0.923309,1.0,0.0078,0.0127,0.891871,iex_side_unstable
BKNG,10,10,25.00005,24.542692,0.981706,25.0,0.001,0.0012,0.898711,
BKR,10,10,1.0,0.911171,0.911171,1.0,0.0007,0.0007,0.953957,
BLK,10,10,0.993386,0.905146,0.911173,1.0,0.0015,0.0008,0.879172,
BLL,10,10,,,,,,,,no_yahoo_history
BLZE,10,10,0.998137,1.000031,1.001898,1.0,0.0085,0.0074,0.905063,no_rebase_needed
BMBL,10,10,1.0,0.99944,0.99944,1.0,0.0019,0.0025,0.895522,no_rebase_needed
BMRN,10,10,1.000194,1.0,0.999806,1.0,0.0017,0.001,0.97287,no_rebase_needed
BMY,10,10,1.0,0.846492,0.846492,1.0,0.0005,0.0003,0.83941,
BNO,10,10,1.0,0.999832,0.999832,1.0,0.0007,0.0022,1.042417,no_rebase_needed
BOND,10,10,0.998717,0.836085,0.837159,1.0,0.0031,0.0013,0.832427,
BOX,10,10,1.0,1.0,1.0,1.0,0.0006,0.0011,0.967483,no_rebase_needed
BP,10,10,1.0,0.81735,0.81735,1.0,0.0004,0.0008,0.831652,
BR,10,10,0.999896,0.930724,0.930821,1.0,0.0005,0.0051,0.927675,
BRF,10,10,0.999995,0.828479,0.828483,1.0,0.011,0.0039,0.789516,pit_side_unstable
BRK-B,10,10,0.999969,0.999967,0.999998,1.0,0.0008,0.0013,0.991727,no_rebase_needed
BRO,10,10,1.0,0.973312,0.973312,1.0,0.0005,0.0005,0.942302,
BROS,10,10,0.99999,1.000727,1.000737,1.0,0.005,0.0026,0.916396,no_rebase_needed
BSX,10,10,0.999889,1.0,1.000111,1.0,0.0007,0.0005,0.967713,no_rebase_needed
BTU,10,10,1.0,0.959388,0.959388,1.0,0.0004,0.0006,0.801015,
BURL,10,10,0.999673,0.999975,1.000302,1.0,0.0021,0.0006,0.912516,no_rebase_needed
BWA,10,10,1.133848,0.94375,0.832343,,0.0044,0.0006,0.787806,P_not_canonical
BWVTF,10,0,,,,,,,,no_seam_window
BWX,10,10,0.999629,0.93147,0.931816,1.0,0.0022,0.0031,0.92443,
BWZ,10,10,1.0,0.933835,0.933835,1.0,0.0005,0.0038,0.924825,
BX,10,10,0.999677,0.872489,0.872771,1.0,0.0006,0.0008,0.785532,
BXP,10,10,0.999959,0.805807,0.805841,1.0,0.0004,0.0009,0.792265,
BYND,10,10,0.03333,0.03332,0.999689,0.03333333333333333,0.0023,0.0012,0.980079,no_rebase_needed
C,10,10,1.0,0.864586,0.864586,1.0,0.0003,0.0004,0.84916,
CAG,10,10,1.0,0.817922,0.817922,1.0,0.0003,0.0007,0.801164,
CAH,10,10,1.0,0.917968,0.917968,1.0,0.0004,0.0004,0.891428,
CAKE,10,10,1.0,0.896679,0.896679,1.0,0.0008,0.0017,0.78912,
CAR,10,10,1.0,0.950634,0.950634,1.0,0.0015,0.0016,0.883314,
CARR,10,10,1.0,0.94329,0.94329,1.0,0.0007,0.0007,0.911962,
CARS,10,10,1.0,0.999323,0.999323,1.0,0.0015,0.0018,0.923277,no_rebase_needed
CAT,10,10,0.999974,0.930562,0.930586,1.0,0.0008,0.0006,0.935711,
CB,10,10,1.0,0.939407,0.939407,1.0,0.0011,0.0039,0.909548,
CBOE,10,10,0.999039,0.948725,0.949638,1.0,0.0034,0.0023,0.91784,
CBRE,10,10,0.999844,0.99989,1.000046,1.0,0.0006,0.0013,0.96388,no_rebase_needed
CCI,10,10,1.00003,0.811526,0.811502,1.0,0.0003,0.009,0.797602,
CCJ,10,10,1.0,0.991209,0.991209,1.0,0.0005,0.0007,1.012747,
CCL,10,10,1.0,0.995324,0.995324,1.0,0.001,0.0002,0.896512,
CDAY,10,10,,,,,,,,no_yahoo_history
CDLX,10,10,0.100046,0.099852,0.998061,0.1,0.0038,0.005,0.961068,no_rebase_needed
CDNS,10,10,1.000456,0.999761,0.999305,1.0,0.0008,0.0013,0.972224,no_rebase_needed
CDW,10,10,0.999913,0.948779,0.948862,1.0,0.0033,0.0015,0.914853,
CE,10,10,0.999928,0.937119,0.937187,1.0,0.0006,0.0007,0.88208,
CEG,10,10,0.99958,0.968644,0.969051,1.0,0.0035,0.0025,0.981259,
CERN,10,10,,,,,,,,no_yahoo_history
CF,10,10,1.0,0.917557,0.917557,1.0,0.0005,0.0006,0.962366,
CFG,10,10,1.0,0.838066,0.838066,1.0,0.0002,0.0002,0.790395,
CHD,10,10,1.0,0.953339,0.953339,1.0,0.0002,0.0005,0.962941,
CHK,10,10,,,,,,,,no_yahoo_history
CHKP,10,10,1.0,0.999928,0.999928,1.0,0.0008,0.0011,0.957043,no_rebase_needed
CHPT,10,10,0.05,0.999841,19.996821,0.05,0.0007,0.0012,21.840278,
CHRW,10,10,0.995118,0.909734,0.914197,1.0,0.0056,0.0009,0.898157,
CHTR,10,10,1.0,0.999912,0.999912,1.0,0.0008,0.0009,1.011456,no_rebase_needed
CHWY,10,10,0.999756,1.0,1.000244,1.0,0.0009,0.0018,0.94631,no_rebase_needed
CI,10,10,1.000065,0.930064,0.930003,1.0,0.0009,0.0048,0.912013,
CIEN,10,10,1.000071,1.000127,1.000056,1.0,0.0006,0.0006,0.891113,no_rebase_needed
CINF,10,10,0.999919,0.898331,0.898404,1.0,0.0011,0.0059,0.872502,
CIU,10,0,,,,,,,,no_seam_window
CL,10,10,1.0,0.909112,0.909112,1.0,0.0003,0.0021,0.901463,
CLF,10,10,1.0,1.0,1.0,1.0,0.0005,0.0009,1.004626,no_rebase_needed
CLNE,10,10,1.0,1.0,1.0,1.0,0.0027,0.0015,1.00473,no_rebase_needed
CLX,10,10,0.999932,0.871217,0.871276,1.0,0.0005,0.0007,0.875412,
CMA,10,10,,,,,,,,no_yahoo_history
CMCSA,10,10,1.067,0.87947,0.824245,,0.0006,0.0005,0.808358,P_not_canonical
CMD,10,0,,,,,,,,no_seam_window
CME,10,10,1.0,0.8368,0.8368,1.0,0.0006,0.0041,0.805769,
CMF,10,10,0.999087,0.90292,0.903745,1.0,0.0016,0.0021,0.901598,
CMG,10,10,50.0,1.00004,0.020001,50.0,0.0011,0.0011,0.018359,
CMI,10,10,1.000045,0.909674,0.909633,1.0,0.0008,0.0004,0.853309,
CMS,10,10,1.0,0.882791,0.882791,1.0,0.0003,0.0006,0.882801,
CNC,10,10,1.0,0.999942,0.999942,1.0,0.0002,0.0005,0.97025,no_rebase_needed
CNDT,10,10,1.000978,0.997859,0.996883,1.0,0.0025,0.0014,0.978824,
CNP,10,10,1.0,0.903393,0.903393,1.0,0.0007,0.0005,0.895305,
COF,10,10,1.000036,0.930402,0.930369,1.0,0.0005,0.0005,0.866192,
COIN,10,10,1.0,0.999654,0.999654,1.0,0.0003,0.0008,0.970917,no_rebase_needed
COLX,10,0,,,,,,,,no_seam_window
COO,10,10,3.999208,0.99972,0.249979,4.0,0.0011,0.0011,0.235986,
COP,10,10,1.0,0.862535,0.862535,1.0,0.0007,0.0005,0.87097,
COST,10,10,1.000126,0.953847,0.953727,1.0,0.0005,0.0012,0.95961,
COTY,10,10,0.999455,0.999387,0.999932,1.0,0.0013,0.0023,0.907522,no_rebase_needed
COUP,10,10,,,,,,,,no_yahoo_history
COWTF,10,0,,,,,,,,no_seam_window
CPB,10,10,0.99978,0.864953,0.865144,1.0,0.0005,0.0007,0.864485,
CPER,10,10,1.0,1.0,1.0,1.0,0.0012,0.0031,0.966243,no_rebase_needed
CPRI,10,10,1.0,0.999909,0.999909,1.0,0.0005,0.0006,0.847635,no_rebase_needed
CPRT,10,10,4.0,0.999955,0.249989,4.0,0.0008,0.0012,0.231601,
CRED,10,10,,,,,,,,no_yahoo_history
CRL,10,10,1.0,1.000243,1.000243,1.0,0.0005,0.0015,0.95902,no_rebase_needed
CRM,10,10,0.99988,0.988055,0.988174,1.0,0.0014,0.0012,0.954175,
CRSP,10,10,0.999906,1.000539,1.000633,1.0,0.0028,0.0021,1.039677,no_rebase_needed
CRUS,10,10,1.000239,1.000126,0.999887,1.0,0.0007,0.0022,0.955775,no_rebase_needed
CRWD,10,10,4.0,4.0,1.0,4.0,0.0008,0.0009,0.935039,no_rebase_needed
CSCO,10,10,1.000178,0.88821,0.888052,1.0,0.0006,0.0007,0.874218,
CSGP,10,10,1.0,0.99991,0.99991,1.0,0.001,0.0005,0.919717,no_rebase_needed
CSJ,10,0,,,,,,,,no_seam_window
CSX,10,10,0.999856,0.945362,0.945498,1.0,0.0033,0.0006,0.934819,
CTAS,10,10,4.0,0.963998,0.240999,4.0,0.0005,0.0009,0.236055,
CTLT,10,10,,,,,,,,no_yahoo_history
CTRA,10,10,,,,,,,,no_yahoo_history
CTRU,10,10,1.0,1.000015,1.000015,1.0,0.0008,0.0164,0.984868,iex_side_unstable;no_rebase_needed
CTSH,10,10,1.0,0.935733,0.935733,1.0,0.0003,0.0006,0.912323,
CTVA,10,10,0.998714,0.957427,0.95866,1.0,0.003,0.0004,0.952388,
CTXS,10,10,,,,,,,,no_yahoo_history
CURE,10,10,0.999911,0.94748,0.947564,1.0,0.0035,0.0242,0.901282,iex_side_unstable
CVNA,10,10,5.0,4.998089,0.999618,5.0,0.0034,0.0035,1.014992,no_rebase_needed
CVS,10,10,1.0,0.869831,0.869831,1.0,0.0002,0.0006,0.864704,
CVX,10,10,1.0,0.851454,0.851454,1.0,0.0002,0.0015,0.869378,
CWB,10,10,0.999389,0.923786,0.924351,1.0,0.0032,0.0038,0.902784,
CWI,10,10,1.0,0.886735,0.886735,1.0,0.0012,0.0021,0.860093,
CXA,10,0,,,,,,,,no_seam_window
CZR,10,10,1.0,0.999933,0.999933,1.0,0.0007,0.0007,0.883771,no_rebase_needed
D,10,10,0.991669,0.829298,0.836265,1.0,0.0085,0.0006,0.836111,
DAL,10,10,1.0,0.970189,0.970189,1.0,0.0005,0.0006,0.846474,
DASH,10,10,1.000049,0.999969,0.99992,1.0,0.0014,0.0011,0.888067,no_rebase_needed
DBA,10,10,1.000467,0.882462,0.88205,1.0,0.0011,0.0018,0.898359,
DBB,10,10,1.000405,0.856722,0.856375,1.0,0.0013,0.0049,0.842738,
DBC,10,10,1.000193,0.870819,0.870651,1.0,0.0013,0.0017,0.891335,
DBE,10,10,1.0,0.864475,0.864475,1.0,0.0044,0.0068,0.892674,
DBI,10,10,1.0,0.886416,0.886416,1.0,0.0015,0.0018,0.809278,
DBO,10,10,1.0,0.876517,0.876517,1.0,0.0012,0.0014,0.895753,
DBP,10,10,1.0,0.891595,0.891595,1.0,0.0014,0.0058,0.929048,
DBS,10,10,0.998558,0.989229,0.990658,1.0,0.0121,0.0052,0.985434,pit_side_unstable
DBV,10,10,,,,,,,,no_overlap_with_yahoo
DBX,10,10,1.0,1.0,1.0,1.0,0.001,0.0011,0.938891,no_rebase_needed
DD,10,10,0.79651,0.307708,0.386321,0.8,0.0045,0.0007,0.358736,
DDM,10,10,2.0,0.964461,0.48223,2.0,0.0008,0.0308,0.459753,iex_side_unstable
DDOG,10,10,1.00003,0.999643,0.999612,1.0,0.001,0.0012,0.915301,no_rebase_needed
DE,10,10,0.999725,0.947182,0.947442,1.0,0.0005,0.0008,0.896233,
DECK,10,10,5.998089,1.00001,0.166721,6.0,0.0017,0.0011,0.15955,
DELL,10,10,1.0,0.912952,0.912952,1.0,0.0003,0.0006,0.866811,
DFS,10,10,,,,,,,,no_yahoo_history
DG,10,10,0.999948,0.931667,0.931716,1.0,0.0006,0.0004,0.900126,
DGAZ,10,0,,,,,,,,no_seam_window
DGL,10,10,1.0,0.990238,0.990238,1.0,0.0032,0.0109,1.000534,iex_side_unstable
DGLD,10,0,,,,,,,,no_seam_window
DGT,10,10,0.998805,0.892892,0.89396,1.0,0.0057,0.0074,0.873563,
DGX,10,10,0.999999,0.923083,0.923084,1.0,0.0004,0.0006,0.912252,
DHI,10,10,1.000003,0.959575,0.959572,1.0,0.0005,0.0005,0.900231,
DHR,10,10,1.127979,0.963422,0.854113,,0.0006,0.0008,0.824363,P_not_canonical
DIA,10,10,0.999864,0.929401,0.929527,1.0,0.0006,0.0014,0.907671,
DIDI,10,10,,,,,,,,no_yahoo_history
DIG,10,10,4.000971,0.92107,0.230212,4.0,0.0028,0.0077,0.237936,
DIS,10,10,0.999934,0.976904,0.976969,1.0,0.0006,0.0009,0.926601,
DISCA,10,10,,,,,,,,no_yahoo_history
DISCK,10,10,,,,,,,,no_yahoo_history
DISH,10,10,,,,,,,,no_yahoo_history
DJP,10,10,1.0,0.998702,0.998702,1.0,0.0014,0.0053,1.038462,no_rebase_needed
DKNG,10,10,1.0,0.999468,0.999468,1.0,0.0009,0.0016,0.87234,no_rebase_needed
DKS,10,10,0.999949,0.905646,0.905692,1.0,0.0009,0.0043,0.819229,
DLR,10,10,1.000073,0.864316,0.864252,1.0,0.0002,0.0095,0.84129,
DLTR,10,10,1.0,0.999968,0.999968,1.0,0.0003,0.0013,0.981389,no_rebase_needed
DNB,10,10,,,,,,,,no_yahoo_history
DNN,10,10,1.0,0.998543,0.998543,1.0,0.0161,0.0161,1.044828,pit_side_unstable;iex_side_unstable;no_rebase_needed
DNO,10,0,,,,,,,,no_seam_window
DNUT,10,10,0.999322,0.960471,0.961123,1.0,0.0015,0.0023,0.916379,
DOCU,10,10,1.000042,1.000053,1.000011,1.0,0.0012,0.0009,0.936361,no_rebase_needed
DOG,10,10,0.999708,0.869614,0.869869,1.0,0.0006,0.0063,0.890668,
DOIL,10,0,,,,,,,,no_seam_window
DOV,10,10,0.999777,0.950949,0.951161,1.0,0.0033,0.001,0.925793,
DOW,10,10,0.99966,0.797363,0.797634,1.0,0.0121,0.0005,0.786569,pit_side_unstable
DPK,10,0,,,,,,,,no_seam_window
DPZ,10,10,1.0,0.943302,0.943302,1.0,0.0007,0.0033,0.911317,
DRE,10,10,,,,,,,,no_yahoo_history
DRI,10,10,0.999931,0.873833,0.873894,1.0,0.0007,0.0006,0.77932,
DRN,10,10,0.999525,0.90253,0.902959,1.0,0.0021,0.0077,0.857352,
DRV,10,10,1.0,0.880524,0.880524,1.0,0.0014,0.0206,0.925432,iex_side_unstable
DSI,10,10,1.0,0.951075,0.951075,1.0,0.0007,0.0058,0.919055,
DSLV,10,0,,,,,,,,no_seam_window
DT,10,10,1.000225,1.000118,0.999894,1.0,0.0009,0.0022,0.965492,no_rebase_needed
DTE,10,10,0.999959,0.868414,0.868449,1.0,0.0002,0.0011,0.863117,
DUG,10,10,0.25,0.873986,3.495945,0.25,0.0014,0.021,3.385647,iex_side_unstable
DUK,10,10,1.0,0.856398,0.856398,1.0,0.0002,0.0005,0.86804,
DUST,10,10,0.009993,0.874089,87.467996,0.01,0.0028,0.0042,82.744716,
DVA,10,10,1.0,1.000067,1.000067,1.0,0.0006,0.0007,0.994821,no_rebase_needed
DVN,10,10,0.999832,0.833221,0.83336,1.0,0.0002,0.0171,0.82393,iex_side_unstable
DVY,10,10,1.0,0.855019,0.855019,1.0,0.0008,0.0026,0.842874,
DWAC,10,10,,,,,,,,no_yahoo_history
DWT,10,0,,,,,,,,no_seam_window
DWX,10,10,1.0,0.835205,0.835205,1.0,0.0001,0.0072,0.81565,
DXC,10,10,1.0,0.999696,0.999696,1.0,0.0006,0.001,0.964667,no_rebase_needed
DXCM,10,10,4.0,0.999776,0.249944,4.0,0.0017,0.0017,0.243787,
DXD,10,10,1.0,0.876736,0.876736,1.0,0.0012,0.0095,0.917628,
DZK,10,0,,,,,,,,no_seam_window
EA,10,10,,,,,,,,no_yahoo_history
EBAY,10,10,1.000091,0.927418,0.927334,1.0,0.0004,0.004,0.90983,
ECH,10,10,1.0,0.848069,0.848069,1.0,0.0044,0.0048,0.825278,
ECL,10,10,0.999734,0.954238,0.954492,1.0,0.001,0.0036,0.898741,
ED,10,10,1.0,0.871871,0.871871,1.0,0.0002,0.0008,0.874343,
EDC,10,10,1.0,0.900802,0.900802,1.0,0.0044,0.0043,0.802934,
EDZ,10,10,0.1,0.870777,8.707773,0.1,0.002,0.0054,9.698388,
EEM,10,10,1.000315,0.906854,0.906569,1.0,0.0007,0.0009,0.872429,
EEV,10,10,0.5,0.880376,1.760751,0.5,0.0041,0.0233,1.859963,iex_side_unstable
EFA,10,10,1.000067,0.883961,0.883902,1.0,0.0007,0.002,0.855976,
EFG,10,10,1.000364,0.932272,0.931933,1.0,0.0009,0.002,0.902117,
EFU,10,10,0.5,0.870212,1.740424,0.5,0.007,0.0434,1.814466,iex_side_unstable
EFV,10,10,1.000098,0.838371,0.838289,1.0,0.0013,0.0012,0.812898,
EFX,10,10,0.999744,0.969781,0.97003,1.0,0.0004,0.0007,0.927751,
EFZ,10,10,0.5,0.43142,0.862841,0.5,0.0001,0.0046,0.892548,
EGPT,10,10,1.0,0.930995,0.930995,1.0,0.0074,0.0249,0.903285,iex_side_unstable
EIX,10,10,1.0,0.825591,0.825591,1.0,0.0005,0.0008,0.833662,
EL,10,10,0.999828,0.936126,0.936288,1.0,0.0025,0.0009,0.865109,
ELAN,10,10,1.0,1.000282,1.000282,1.0,0.0008,0.0008,0.924866,no_rebase_needed
EMB,10,10,0.996783,0.815422,0.818053,1.0,0.0037,0.0006,0.809088,
EMN,10,10,0.999917,0.853237,0.853308,1.0,0.0007,0.0077,0.779535,
EMR,10,10,0.999946,0.922054,0.922104,1.0,0.0003,0.0007,0.922861,
ENPH,10,10,0.999878,0.999549,0.999671,1.0,0.0012,0.0012,1.004938,no_rebase_needed
EOG,10,10,0.999957,0.83336,0.833396,1.0,0.0014,0.0088,0.839772,
EPAM,10,10,0.999935,0.999808,0.999874,1.0,0.001,0.0021,0.880919,no_rebase_needed
EPP,10,10,1.000107,0.851288,0.851197,1.0,0.0012,0.0038,0.834893,
