ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
PEG,10,10,0.999925,0.874736,0.874802,1.0,0.0003,0.0084,0.868972,
PEJ,10,10,1.0,0.98194,0.98194,1.0,0.0009,0.0096,0.916082,
PENN,10,10,1.0,1.0,1.0,1.0,0.0002,0.0006,0.88274,no_rebase_needed
PEP,10,10,0.993526,0.880363,0.8861,1.0,0.0067,0.0007,0.863083,
PEY,10,10,1.0,0.828807,0.828807,1.0,0.0009,0.0022,0.820178,
PEZ,10,10,1.0,0.984851,0.984851,1.0,0.0,0.0151,1.032228,iex_side_unstable
PFE,10,10,1.0,0.806356,0.806356,1.0,0.0003,0.0011,0.795172,
PFF,10,10,0.997482,0.781459,0.783432,1.0,0.0037,0.0017,0.774339,
PFG,10,10,1.0,0.867497,0.867497,1.0,0.0006,0.0099,0.824545,
PFI,10,10,,,,,,,,no_overlap_with_yahoo
PFM,10,10,1.0,0.930199,0.930199,1.0,0.0,0.0143,0.916314,iex_side_unstable
PG,10,10,0.999904,0.902893,0.902979,1.0,0.0007,0.0007,0.889768,
PGF,10,10,1.00029,0.782486,0.782258,1.0,0.0032,0.0013,0.773881,
PGJ,10,10,1.000455,0.891683,0.891277,1.0,0.0029,0.0208,0.864451,iex_side_unstable
PGR,10,10,0.999953,0.909787,0.90983,1.0,0.0003,0.0008,0.904477,
PH,10,10,1.0,0.949201,0.949201,1.0,0.0013,0.0011,0.90942,
PHB,10,10,,,,,,,,no_yahoo_history
PHM,10,10,1.0,0.961899,0.961899,1.0,0.0004,0.0036,0.900364,
PHO,10,10,1.000001,0.977262,0.977261,1.0,0.0016,0.005,0.953013,
PIC,10,0,,,,,,,,no_seam_window
PID,10,10,1.0,0.861959,0.861959,1.0,0.0015,0.0022,0.851836,
PIE,10,10,1.0,0.900988,0.900988,1.0,0.0049,0.0133,0.855748,iex_side_unstable
PINS,10,10,1.0,1.0,1.0,1.0,0.0008,0.0013,0.954921,no_rebase_needed
PIO,10,10,1.0,0.96167,0.96167,1.0,0.0036,0.0073,0.937531,
PIQ,10,0,,,,,,,,no_seam_window
PIZ,10,10,1.0,0.924808,0.924808,1.0,0.0041,0.0063,0.889291,
PJB,10,0,,,,,,,,no_seam_window
PJP,10,10,,,,,,,,no_overlap_with_yahoo
PKB,10,10,1.0,0.985678,0.985678,1.0,0.0003,0.0127,0.950879,iex_side_unstable
PKG,10,10,0.999967,0.884477,0.884506,1.0,0.0009,0.0071,0.855572,
PKI,10,10,,,,,,,,no_yahoo_history
PKW,10,10,1.000167,0.953248,0.953089,1.0,0.0007,0.0102,0.931091,iex_side_unstable
PLD,10,10,0.999931,0.879304,0.879364,1.0,0.0004,0.0056,0.868003,
PLND,10,0,,,,,,,,no_seam_window
PLNT,10,10,1.0,1.000124,1.000124,1.0,0.0004,0.0011,0.929838,no_rebase_needed
PLTK,10,10,1.0,0.858817,0.858817,1.0,0.0012,0.0012,0.799641,
PLTR,10,10,1.0,0.999775,0.999775,1.0,0.0017,0.0009,1.014155,no_rebase_needed
PLUG,10,10,1.0,1.0,1.0,1.0,0.0004,0.001,1.006499,no_rebase_needed
PLW,10,10,1.0,0.978443,0.978443,1.0,0.0009,0.0064,0.975781,
PM,10,10,1.0,0.817945,0.817945,1.0,0.0003,0.0008,0.763753,
PMR,10,0,,,,,,,,no_seam_window
PNC,10,10,1.0,0.855224,0.855224,1.0,0.0007,0.0009,0.826867,
PNR,10,10,1.0,0.947989,0.947989,1.0,0.0004,0.0006,0.913403,
PNW,10,10,1.0,0.839157,0.839157,1.0,0.0006,0.0007,0.850022,
POOL,10,10,1.000022,0.945715,0.945694,1.0,0.0011,0.0027,0.915942,
POSH,10,10,,,,,,,,no_yahoo_history
PPA,10,10,1.0,0.972864,0.972864,1.0,0.0005,0.0038,0.963902,
PPG,10,10,1.000067,0.917483,0.917422,1.0,0.0006,0.0011,0.848074,
PPH,10,10,1.0,0.926904,0.926904,1.0,0.0001,0.0057,0.9154,
PPL,10,10,1.0,0.874134,0.874134,1.0,0.0008,0.0075,0.857803,
PRF,10,10,5.0,0.923329,0.184666,5.0,0.0007,0.008,0.180308,
PRFZ,10,10,5.0,0.946859,0.189372,5.0,0.0008,0.0095,0.184794,
PRGO,10,10,1.0,0.873356,0.873356,1.0,0.0078,0.0006,0.847092,
